Trial Response s1 s2 s3 invord i1 i2 i3
5 0 0.10 0.80 1.00 0 2 9 11
6 0 1.00 0.30 0.00 1 11 4 1
7 1 0.00 0.90 1.00 0 1 10 11
8 0 0.70 0.30 0.20 1 8 4 3
9 0 0.80 0.40 0.30 1 9 5 4
10 1 0.20 0.50 0.90 0 3 6 10
11 0 0.80 0.50 0.40 1 9 6 5
12 1 0.60 0.50 0.20 1 7 6 3
13 1 1.00 0.90 0.20 1 11 10 3
14 1 0.10 0.20 0.50 0 2 3 6
15 0 0.90 0.50 0.10 1 10 6 2
16 1 0.80 0.60 0.10 1 9 7 2
17 0 0.60 0.50 0.00 1 7 6 1
18 1 0.30 0.50 0.70 0 4 6 8
19 1 0.80 0.70 0.50 1 9 8 6
20 0 0.20 0.60 0.70 0 3 7 8
21 0 0.00 0.30 0.50 0 1 4 6
22 0 0.40 0.80 0.90 0 5 9 10
23 1 0.00 0.20 0.90 0 1 3 10
24 0 0.60 0.50 0.40 1 7 6 5
25 0 0.90 0.70 0.60 1 10 8 7
26 0 1.00 0.40 0.30 1 11 5 4
27 1 0.20 0.30 0.60 0 3 4 7
28 0 0.80 0.50 0.20 1 9 6 3
29 1 0.20 0.40 0.90 0 3 5 10
30 0 0.30 0.10 0.00 1 4 2 1
31 0 0.90 0.60 0.10 1 10 7 2
32 0 0.80 0.20 0.00 1 9 3 1
33 0 1.00 0.70 0.60 1 11 8 7
34 0 0.90 0.40 0.10 1 10 5 2
35 0 0.80 0.30 0.10 1 9 4 2
36 1 0.80 0.70 0.00 1 9 8 1
37 1 1.00 0.70 0.00 1 11 8 1
38 0 0.00 0.50 0.70 0 1 6 8
39 1 0.90 0.80 0.00 1 10 9 1
40 0 1.00 0.30 0.20 1 11 4 3
41 1 1.00 0.90 0.40 1 11 10 5
42 1 0.20 0.50 0.70 0 3 6 8
43 0 0.90 0.10 0.00 1 10 2 1
44 1 0.50 0.30 0.10 1 6 4 2
45 0 0.90 0.60 0.40 1 10 7 5
46 0 0.80 0.50 0.30 1 9 6 4
47 1 0.10 0.30 0.90 0 2 4 10
48 0 1.00 0.60 0.10 1 11 7 2
49 0 0.70 0.80 0.90 0 8 9 10
50 0 0.30 0.40 0.70 0 4 5 8
51 0 0.30 0.60 0.90 0 4 7 10
52 1 0.90 0.70 0.30 1 10 8 4
53 0 0.30 0.80 0.90 0 4 9 10
54 1 1.00 0.90 0.50 1 11 10 6
55 1 0.60 0.70 0.80 0 7 8 9
56 0 0.70 0.20 0.10 1 8 3 2
57 0 0.70 0.60 0.50 1 8 7 6
58 1 0.10 0.20 0.90 0 2 3 10
59 1 0.30 0.40 0.60 0 4 5 7
60 1 0.90 0.60 0.50 1 10 7 6
61 1 1.00 0.60 0.20 1 11 7 3
62 1 0.50 0.60 1.00 0 6 7 11
63 1 0.10 0.30 1.00 0 2 4 11
64 1 0.80 0.60 0.20 1 9 7 3
65 1 0.90 0.70 0.50 1 10 8 6
66 0 0.80 0.60 0.50 1 9 7 6
67 0 0.80 0.30 0.00 1 9 4 1
68 1 0.70 0.50 0.40 1 8 6 5
69 1 0.60 0.30 0.10 1 7 4 2
70 0 0.70 0.30 0.00 1 8 4 1
71 0 0.50 0.80 1.00 0 6 9 11
72 1 0.40 0.70 0.90 0 5 8 10
73 1 0.90 0.80 0.50 1 10 9 6
74 0 1.00 0.60 0.00 1 11 7 1
75 1 0.00 0.10 0.80 0 1 2 9
76 0 1.00 0.80 0.70 1 11 9 8
77 1 0.00 0.20 0.40 0 1 3 5
78 1 0.00 0.20 1.00 0 1 3 11
79 1 0.40 0.50 1.00 0 5 6 11
80 1 0.10 0.30 0.70 0 2 4 8
81 1 0.80 0.90 1.00 0 9 10 11
82 1 0.70 0.40 0.10 1 8 5 2
83 1 0.30 0.40 0.50 0 4 5 6
84 1 1.00 0.90 0.60 1 11 10 7
85 0 0.30 0.90 1.00 0 4 10 11
86 1 0.00 0.50 0.80 0 1 6 9
87 1 0.40 0.70 1.00 0 5 8 11
88 0 0.40 0.30 0.20 1 5 4 3
89 0 1.00 0.50 0.30 1 11 6 4
90 1 0.00 0.40 0.50 0 1 5 6
91 1 0.80 0.70 0.40 1 9 8 5
92 0 0.80 0.30 0.20 1 9 4 3
93 0 0.10 0.50 0.70 0 2 6 8
94 1 0.10 0.20 1.00 0 2 3 11
95 1 0.20 0.70 1.00 0 3 8 11
96 1 0.30 0.50 0.90 0 4 6 10
97 1 0.90 0.80 0.10 1 10 9 2
98 1 0.70 0.60 0.30 1 8 7 4
99 1 0.40 0.60 0.80 0 5 7 9
100 1 0.10 0.40 1.00 0 2 5 11
101 1 0.80 0.70 0.10 1 9 8 2
102 1 0.80 0.50 0.10 1 9 6 2
103 1 0.10 0.40 0.60 0 2 5 7
104 0 0.10 0.70 0.90 0 2 8 10
105 0 1.00 0.40 0.00 1 11 5 1
106 0 0.20 0.60 0.90 0 3 7 10
107 0 0.90 0.50 0.00 1 10 6 1
108 1 0.10 0.40 0.80 0 2 5 9
109 0 0.20 0.70 0.90 0 3 8 10
110 0 0.90 0.40 0.30 1 10 5 4
111 1 0.40 0.60 1.00 0 5 7 11
112 0 0.60 0.50 0.30 1 7 6 4
113 0 0.40 0.20 0.10 1 5 3 2
114 1 0.00 0.10 0.40 0 1 2 5
115 1 0.00 0.20 0.60 0 1 3 7
116 1 1.00 0.80 0.20 1 11 9 3
117 0 1.00 0.10 0.00 1 11 2 1
118 0 1.00 0.50 0.20 1 11 6 3
119 0 0.30 0.70 1.00 0 4 8 11
120 1 0.60 0.30 0.00 1 7 4 1
121 0 0.30 0.20 0.10 1 4 3 2
122 1 0.50 0.40 0.20 1 6 5 3
123 1 1.00 0.80 0.00 1 11 9 1
124 0 1.00 0.40 0.20 1 11 5 3
125 0 0.30 0.80 1.00 0 4 9 11
126 0 0.20 0.80 0.90 0 3 9 10
127 0 0.90 0.30 0.00 1 10 4 1
128 1 0.80 0.70 0.20 1 9 8 3
129 1 0.90 0.60 0.00 1 10 7 1
130 0 0.90 0.50 0.40 1 10 6 5
131 1 0.00 0.40 0.90 0 1 5 10
132 1 0.00 0.70 0.90 0 1 8 10
133 1 1.00 0.80 0.60 1 11 9 7
134 1 1.00 0.90 0.70 1 11 10 8
135 1 0.40 0.30 0.00 1 5 4 1
136 0 0.10 0.50 1.00 0 2 6 11
137 0 0.10 0.60 0.70 0 2 7 8
138 1 0.20 0.40 0.60 0 3 5 7
139 1 0.00 0.40 0.80 0 1 5 9
140 1 0.00 0.50 1.00 0 1 6 11
141 0 0.50 0.40 0.10 1 6 5 2
142 0 0.70 0.60 0.40 1 8 7 5
143 0 0.60 0.10 0.00 1 7 2 1
144 1 0.80 0.60 0.30 1 9 7 4
145 1 0.00 0.20 0.70 0 1 3 8
146 1 0.00 0.20 0.50 0 1 3 6
147 1 0.00 0.10 0.50 0 1 2 6
148 1 0.30 0.60 1.00 0 4 7 11
149 1 1.00 0.90 0.10 1 11 10 2
150 1 0.40 0.80 1.00 0 5 9 11
151 1 0.50 0.70 1.00 0 6 8 11
152 1 0.60 0.50 0.10 1 7 6 2
153 1 0.00 0.60 0.80 0 1 7 9
154 0 0.80 0.40 0.20 1 9 5 3
155 1 0.60 0.40 0.00 1 7 5 1
156 1 0.70 0.60 0.00 1 8 7 1
157 0 0.10 0.70 1.00 0 2 8 11
158 0 0.30 0.20 0.00 1 4 3 1
159 0 0.90 0.30 0.20 1 10 4 3
160 0 0.00 0.10 0.70 0 1 2 8
161 0 0.20 0.30 0.50 0 3 4 6
162 1 0.20 0.40 0.70 0 3 5 8
163 1 0.00 0.40 0.70 0 1 5 8
164 0 0.20 0.10 0.00 1 3 2 1
0 0 0.90 0.80 0.60 1 10 9 7
1 0 0.80 0.70 0.30 1 9 8 4
2 0 0.80 0.20 0.10 1 9 3 2
3 0 0.60 0.20 0.10 1 7 3 2
4 0 0.40 0.30 0.10 1 5 4 2
5 0 0.10 0.80 1.00 0 2 9 11
6 0 1.00 0.30 0.00 1 11 4 1
7 0 0.00 0.90 1.00 0 1 10 11
8 0 0.70 0.30 0.20 1 8 4 3
9 0 0.80 0.40 0.30 1 9 5 4
10 1 0.20 0.50 0.90 0 3 6 10
11 0 0.80 0.50 0.40 1 9 6 5
12 1 0.60 0.50 0.20 1 7 6 3
13 1 1.00 0.90 0.20 1 11 10 3
14 0 0.10 0.20 0.50 0 2 3 6
15 0 0.90 0.50 0.10 1 10 6 2
16 1 0.80 0.60 0.10 1 9 7 2
17 1 0.60 0.50 0.00 1 7 6 1
18 1 0.30 0.50 0.70 0 4 6 8
19 1 0.80 0.70 0.50 1 9 8 6
20 0 0.20 0.60 0.70 0 3 7 8
21 0 0.00 0.30 0.50 0 1 4 6
22 0 0.40 0.80 0.90 0 5 9 10
23 1 0.00 0.20 0.90 0 1 3 10
24 0 0.60 0.50 0.40 1 7 6 5
25 0 0.90 0.70 0.60 1 10 8 7
26 0 1.00 0.40 0.30 1 11 5 4
27 1 0.20 0.30 0.60 0 3 4 7
28 0 0.80 0.50 0.20 1 9 6 3
29 1 0.20 0.40 0.90 0 3 5 10
30 1 0.30 0.10 0.00 1 4 2 1
31 1 0.90 0.60 0.10 1 10 7 2
32 0 0.80 0.20 0.00 1 9 3 1
33 0 1.00 0.70 0.60 1 11 8 7
34 0 0.90 0.40 0.10 1 10 5 2
35 0 0.80 0.30 0.10 1 9 4 2
36 1 0.80 0.70 0.00 1 9 8 1
37 0 1.00 0.70 0.00 1 11 8 1
38 0 0.00 0.50 0.70 0 1 6 8
39 1 0.90 0.80 0.00 1 10 9 1
40 0 1.00 0.30 0.20 1 11 4 3
41 1 1.00 0.90 0.40 1 11 10 5
42 1 0.20 0.50 0.70 0 3 6 8
43 0 0.90 0.10 0.00 1 10 2 1
44 0 0.50 0.30 0.10 1 6 4 2
45 0 0.90 0.60 0.40 1 10 7 5
46 0 0.80 0.50 0.30 1 9 6 4
47 1 0.10 0.30 0.90 0 2 4 10
48 0 1.00 0.60 0.10 1 11 7 2
49 1 0.70 0.80 0.90 0 8 9 10
50 1 0.30 0.40 0.70 0 4 5 8
51 1 0.30 0.60 0.90 0 4 7 10
52 1 0.90 0.70 0.30 1 10 8 4
53 0 0.30 0.80 0.90 0 4 9 10
54 1 1.00 0.90 0.50 1 11 10 6
55 1 0.60 0.70 0.80 0 7 8 9
56 0 0.70 0.20 0.10 1 8 3 2
57 0 0.70 0.60 0.50 1 8 7 6
58 1 0.10 0.20 0.90 0 2 3 10
59 1 0.30 0.40 0.60 0 4 5 7
60 0 0.90 0.60 0.50 1 10 7 6
61 0 1.00 0.60 0.20 1 11 7 3
62 1 0.50 0.60 1.00 0 6 7 11
63 1 0.10 0.30 1.00 0 2 4 11
64 0 0.80 0.60 0.20 1 9 7 3
65 1 0.90 0.70 0.50 1 10 8 6
66 0 0.80 0.60 0.50 1 9 7 6
67 1 0.80 0.30 0.00 1 9 4 1
68 1 0.70 0.50 0.40 1 8 6 5
69 1 0.60 0.30 0.10 1 7 4 2
70 0 0.70 0.30 0.00 1 8 4 1
71 1 0.50 0.80 1.00 0 6 9 11
72 0 0.40 0.70 0.90 0 5 8 10
73 1 0.90 0.80 0.50 1 10 9 6
74 1 1.00 0.60 0.00 1 11 7 1
75 1 0.00 0.10 0.80 0 1 2 9
76 0 1.00 0.80 0.70 1 11 9 8
77 0 0.00 0.20 0.40 0 1 3 5
78 1 0.00 0.20 1.00 0 1 3 11
79 1 0.40 0.50 1.00 0 5 6 11
80 1 0.10 0.30 0.70 0 2 4 8
81 0 0.80 0.90 1.00 0 9 10 11
82 0 0.70 0.40 0.10 1 8 5 2
83 0 0.30 0.40 0.50 0 4 5 6
84 1 1.00 0.90 0.60 1 11 10 7
85 0 0.30 0.90 1.00 0 4 10 11
86 0 0.00 0.50 0.80 0 1 6 9
87 0 0.40 0.70 1.00 0 5 8 11
88 0 0.40 0.30 0.20 1 5 4 3
89 0 1.00 0.50 0.30 1 11 6 4
90 0 0.00 0.40 0.50 0 1 5 6
91 1 0.80 0.70 0.40 1 9 8 5
92 0 0.80 0.30 0.20 1 9 4 3
93 0 0.10 0.50 0.70 0 2 6 8
94 1 0.10 0.20 1.00 0 2 3 11
95 1 0.20 0.70 1.00 0 3 8 11
96 1 0.30 0.50 0.90 0 4 6 10
97 1 0.90 0.80 0.10 1 10 9 2
98 1 0.70 0.60 0.30 1 8 7 4
99 0 0.40 0.60 0.80 0 5 7 9
100 1 0.10 0.40 1.00 0 2 5 11
101 1 0.80 0.70 0.10 1 9 8 2
102 0 0.80 0.50 0.10 1 9 6 2
103 1 0.10 0.40 0.60 0 2 5 7
104 0 0.10 0.70 0.90 0 2 8 10
105 0 1.00 0.40 0.00 1 11 5 1
106 1 0.20 0.60 0.90 0 3 7 10
107 0 0.90 0.50 0.00 1 10 6 1
108 1 0.10 0.40 0.80 0 2 5 9
109 0 0.20 0.70 0.90 0 3 8 10
110 0 0.90 0.40 0.30 1 10 5 4
111 1 0.40 0.60 1.00 0 5 7 11
112 0 0.60 0.50 0.30 1 7 6 4
113 0 0.40 0.20 0.10 1 5 3 2
114 1 0.00 0.10 0.40 0 1 2 5
115 1 0.00 0.20 0.60 0 1 3 7
116 1 1.00 0.80 0.20 1 11 9 3
117 0 1.00 0.10 0.00 1 11 2 1
118 0 1.00 0.50 0.20 1 11 6 3
119 0 0.30 0.70 1.00 0 4 8 11
120 1 0.60 0.30 0.00 1 7 4 1
121 1 0.30 0.20 0.10 1 4 3 2
122 1 0.50 0.40 0.20 1 6 5 3
123 1 1.00 0.80 0.00 1 11 9 1
124 0 1.00 0.40 0.20 1 11 5 3
125 1 0.30 0.80 1.00 0 4 9 11
126 0 0.20 0.80 0.90 0 3 9 10
127 0 0.90 0.30 0.00 1 10 4 1
128 1 0.80 0.70 0.20 1 9 8 3
129 0 0.90 0.60 0.00 1 10 7 1
130 0 0.90 0.50 0.40 1 10 6 5
131 1 0.00 0.40 0.90 0 1 5 10
132 0 0.00 0.70 0.90 0 1 8 10
133 0 1.00 0.80 0.60 1 11 9 7
134 1 1.00 0.90 0.70 1 11 10 8
135 0 0.40 0.30 0.00 1 5 4 1
136 0 0.10 0.50 1.00 0 2 6 11
137 0 0.10 0.60 0.70 0 2 7 8
138 1 0.20 0.40 0.60 0 3 5 7
139 0 0.00 0.40 0.80 0 1 5 9
140 1 0.00 0.50 1.00 0 1 6 11
141 1 0.50 0.40 0.10 1 6 5 2
142 1 0.70 0.60 0.40 1 8 7 5
143 0 0.60 0.10 0.00 1 7 2 1
144 1 0.80 0.60 0.30 1 9 7 4
145 1 0.00 0.20 0.70 0 1 3 8
146 1 0.00 0.20 0.50 0 1 3 6
147 1 0.00 0.10 0.50 0 1 2 6
148 0 0.30 0.60 1.00 0 4 7 11
149 1 1.00 0.90 0.10 1 11 10 2
150 0 0.40 0.80 1.00 0 5 9 11
151 0 0.50 0.70 1.00 0 6 8 11
152 1 0.60 0.50 0.10 1 7 6 2
153 0 0.00 0.60 0.80 0 1 7 9
154 0 0.80 0.40 0.20 1 9 5 3
155 0 0.60 0.40 0.00 1 7 5 1
156 1 0.70 0.60 0.00 1 8 7 1
157 0 0.10 0.70 1.00 0 2 8 11
158 1 0.30 0.20 0.00 1 4 3 1
159 0 0.90 0.30 0.20 1 10 4 3
160 1 0.00 0.10 0.70 0 1 2 8
161 0 0.20 0.30 0.50 0 3 4 6
162 1 0.20 0.40 0.70 0 3 5 8
163 0 0.00 0.40 0.70 0 1 5 8
164 0 0.20 0.10 0.00 1 3 2 1
0 1 0.90 0.80 0.60 1 10 9 7
1 0 0.80 0.70 0.30 1 9 8 4
2 0 0.80 0.20 0.10 1 9 3 2
3 1 0.60 0.20 0.10 1 7 3 2
4 1 0.40 0.30 0.10 1 5 4 2
5 0 0.10 0.80 1.00 0 2 9 11
6 0 1.00 0.30 0.00 1 11 4 1
7 0 0.00 0.90 1.00 0 1 10 11
8 0 0.70 0.30 0.20 1 8 4 3
9 0 0.80 0.40 0.30 1 9 5 4
10 1 0.20 0.50 0.90 0 3 6 10
11 1 0.80 0.50 0.40 1 9 6 5
12 1 0.60 0.50 0.20 1 7 6 3
13 1 1.00 0.90 0.20 1 11 10 3
14 1 0.10 0.20 0.50 0 2 3 6
15 0 0.90 0.50 0.10 1 10 6 2
16 1 0.80 0.60 0.10 1 9 7 2
17 0 0.60 0.50 0.00 1 7 6 1
18 1 0.30 0.50 0.70 0 4 6 8
19 1 0.80 0.70 0.50 1 9 8 6
20 0 0.20 0.60 0.70 0 3 7 8
21 0 0.00 0.30 0.50 0 1 4 6
22 0 0.40 0.80 0.90 0 5 9 10
23 1 0.00 0.20 0.90 0 1 3 10
24 1 0.60 0.50 0.40 1 7 6 5
25 1 0.90 0.70 0.60 1 10 8 7
26 0 1.00 0.40 0.30 1 11 5 4
27 1 0.20 0.30 0.60 0 3 4 7
28 1 0.80 0.50 0.20 1 9 6 3
29 1 0.20 0.40 0.90 0 3 5 10
30 1 0.30 0.10 0.00 1 4 2 1
31 1 0.90 0.60 0.10 1 10 7 2
32 0 0.80 0.20 0.00 1 9 3 1
33 0 1.00 0.70 0.60 1 11 8 7
34 0 0.90 0.40 0.10 1 10 5 2
35 0 0.80 0.30 0.10 1 9 4 2
36 0 0.80 0.70 0.00 1 9 8 1
37 1 1.00 0.70 0.00 1 11 8 1
38 1 0.00 0.50 0.70 0 1 6 8
39 1 0.90 0.80 0.00 1 10 9 1
40 0 1.00 0.30 0.20 1 11 4 3
41 1 1.00 0.90 0.40 1 11 10 5
42 1 0.20 0.50 0.70 0 3 6 8
43 0 0.90 0.10 0.00 1 10 2 1
44 0 0.50 0.30 0.10 1 6 4 2
45 1 0.90 0.60 0.40 1 10 7 5
46 0 0.80 0.50 0.30 1 9 6 4
47 1 0.10 0.30 0.90 0 2 4 10
48 0 1.00 0.60 0.10 1 11 7 2
49 1 0.70 0.80 0.90 0 8 9 10
50 0 0.30 0.40 0.70 0 4 5 8
51 1 0.30 0.60 0.90 0 4 7 10
52 1 0.90 0.70 0.30 1 10 8 4
53 0 0.30 0.80 0.90 0 4 9 10
54 0 1.00 0.90 0.50 1 11 10 6
55 0 0.60 0.70 0.80 0 7 8 9
56 0 0.70 0.20 0.10 1 8 3 2
57 1 0.70 0.60 0.50 1 8 7 6
58 1 0.10 0.20 0.90 0 2 3 10
59 0 0.30 0.40 0.60 0 4 5 7
60 1 0.90 0.60 0.50 1 10 7 6
61 0 1.00 0.60 0.20 1 11 7 3
62 1 0.50 0.60 1.00 0 6 7 11
63 1 0.10 0.30 1.00 0 2 4 11
64 1 0.80 0.60 0.20 1 9 7 3
65 0 0.90 0.70 0.50 1 10 8 6
66 0 0.80 0.60 0.50 1 9 7 6
67 1 0.80 0.30 0.00 1 9 4 1
68 1 0.70 0.50 0.40 1 8 6 5
69 1 0.60 0.30 0.10 1 7 4 2
70 1 0.70 0.30 0.00 1 8 4 1
71 0 0.50 0.80 1.00 0 6 9 11
72 1 0.40 0.70 0.90 0 5 8 10
73 1 0.90 0.80 0.50 1 10 9 6
74 0 1.00 0.60 0.00 1 11 7 1
75 1 0.00 0.10 0.80 0 1 2 9
76 0 1.00 0.80 0.70 1 11 9 8
77 1 0.00 0.20 0.40 0 1 3 5
78 1 0.00 0.20 1.00 0 1 3 11
79 1 0.40 0.50 1.00 0 5 6 11
80 1 0.10 0.30 0.70 0 2 4 8
81 1 0.80 0.90 1.00 0 9 10 11
82 1 0.70 0.40 0.10 1 8 5 2
83 1 0.30 0.40 0.50 0 4 5 6
84 1 1.00 0.90 0.60 1 11 10 7
85 0 0.30 0.90 1.00 0 4 10 11
86 0 0.00 0.50 0.80 0 1 6 9
87 1 0.40 0.70 1.00 0 5 8 11
88 0 0.40 0.30 0.20 1 5 4 3
89 0 1.00 0.50 0.30 1 11 6 4
90 0 0.00 0.40 0.50 0 1 5 6
91 1 0.80 0.70 0.40 1 9 8 5
92 0 0.80 0.30 0.20 1 9 4 3
93 0 0.10 0.50 0.70 0 2 6 8
94 1 0.10 0.20 1.00 0 2 3 11
95 0 0.20 0.70 1.00 0 3 8 11
96 1 0.30 0.50 0.90 0 4 6 10
97 1 0.90 0.80 0.10 1 10 9 2
98 0 0.70 0.60 0.30 1 8 7 4
99 1 0.40 0.60 0.80 0 5 7 9
100 1 0.10 0.40 1.00 0 2 5 11
101 1 0.80 0.70 0.10 1 9 8 2
102 0 0.80 0.50 0.10 1 9 6 2
103 1 0.10 0.40 0.60 0 2 5 7
104 1 0.10 0.70 0.90 0 2 8 10
105 1 1.00 0.40 0.00 1 11 5 1
106 1 0.20 0.60 0.90 0 3 7 10
107 1 0.90 0.50 0.00 1 10 6 1
108 0 0.10 0.40 0.80 0 2 5 9
109 1 0.20 0.70 0.90 0 3 8 10
110 0 0.90 0.40 0.30 1 10 5 4
111 1 0.40 0.60 1.00 0 5 7 11
112 1 0.60 0.50 0.30 1 7 6 4
113 0 0.40 0.20 0.10 1 5 3 2
114 0 0.00 0.10 0.40 0 1 2 5
115 1 0.00 0.20 0.60 0 1 3 7
116 1 1.00 0.80 0.20 1 11 9 3
117 0 1.00 0.10 0.00 1 11 2 1
118 0 1.00 0.50 0.20 1 11 6 3
119 1 0.30 0.70 1.00 0 4 8 11
120 0 0.60 0.30 0.00 1 7 4 1
121 1 0.30 0.20 0.10 1 4 3 2
122 1 0.50 0.40 0.20 1 6 5 3
123 1 1.00 0.80 0.00 1 11 9 1
124 0 1.00 0.40 0.20 1 11 5 3
125 1 0.30 0.80 1.00 0 4 9 11
126 0 0.20 0.80 0.90 0 3 9 10
127 1 0.90 0.30 0.00 1 10 4 1
128 0 0.80 0.70 0.20 1 9 8 3
129 0 0.90 0.60 0.00 1 10 7 1
130 0 0.90 0.50 0.40 1 10 6 5
131 1 0.00 0.40 0.90 0 1 5 10
132 1 0.00 0.70 0.90 0 1 8 10
133 1 1.00 0.80 0.60 1 11 9 7
134 1 1.00 0.90 0.70 1 11 10 8
135 1 0.40 0.30 0.00 1 5 4 1
136 1 0.10 0.50 1.00 0 2 6 11
137 0 0.10 0.60 0.70 0 2 7 8
138 0 0.20 0.40 0.60 0 3 5 7
139 0 0.00 0.40 0.80 0 1 5 9
140 1 0.00 0.50 1.00 0 1 6 11
141 1 0.50 0.40 0.10 1 6 5 2
142 0 0.70 0.60 0.40 1 8 7 5
143 0 0.60 0.10 0.00 1 7 2 1
144 0 0.80 0.60 0.30 1 9 7 4
145 1 0.00 0.20 0.70 0 1 3 8
146 1 0.00 0.20 0.50 0 1 3 6
147 1 0.00 0.10 0.50 0 1 2 6
148 0 0.30 0.60 1.00 0 4 7 11
149 1 1.00 0.90 0.10 1 11 10 2
150 0 0.40 0.80 1.00 0 5 9 11
151 1 0.50 0.70 1.00 0 6 8 11
152 0 0.60 0.50 0.10 1 7 6 2
153 0 0.00 0.60 0.80 0 1 7 9
154 1 0.80 0.40 0.20 1 9 5 3
155 0 0.60 0.40 0.00 1 7 5 1
156 1 0.70 0.60 0.00 1 8 7 1
157 0 0.10 0.70 1.00 0 2 8 11
158 0 0.30 0.20 0.00 1 4 3 1
159 0 0.90 0.30 0.20 1 10 4 3
160 1 0.00 0.10 0.70 0 1 2 8
161 0 0.20 0.30 0.50 0 3 4 6
162 1 0.20 0.40 0.70 0 3 5 8
163 0 0.00 0.40 0.70 0 1 5 8
164 1 0.20 0.10 0.00 1 3 2 1
0 0 0.90 0.80 0.60 1 10 9 7
1 1 0.80 0.70 0.30 1 9 8 4
2 0 0.80 0.20 0.10 1 9 3 2
3 0 0.60 0.20 0.10 1 7 3 2
4 1 0.40 0.30 0.10 1 5 4 2
5 0 0.10 0.80 1.00 0 2 9 11
6 0 1.00 0.30 0.00 1 11 4 1
7 0 0.00 0.90 1.00 0 1 10 11
8 0 0.70 0.30 0.20 1 8 4 3
9 0 0.80 0.40 0.30 1 9 5 4
10 0 0.20 0.50 0.90 0 3 6 10
11 0 0.80 0.50 0.40 1 9 6 5
12 1 0.60 0.50 0.20 1 7 6 3
13 1 1.00 0.90 0.20 1 11 10 3
14 0 0.10 0.20 0.50 0 2 3 6
15 0 0.90 0.50 0.10 1 10 6 2
16 1 0.80 0.60 0.10 1 9 7 2
17 1 0.60 0.50 0.00 1 7 6 1
18 0 0.30 0.50 0.70 0 4 6 8
19 0 0.80 0.70 0.50 1 9 8 6
20 1 0.20 0.60 0.70 0 3 7 8
21 1 0.00 0.30 0.50 0 1 4 6
22 0 0.40 0.80 0.90 0 5 9 10
23 1 0.00 0.20 0.90 0 1 3 10
24 0 0.60 0.50 0.40 1 7 6 5
25 1 0.90 0.70 0.60 1 10 8 7
26 0 1.00 0.40 0.30 1 11 5 4
27 0 0.20 0.30 0.60 0 3 4 7
28 1 0.80 0.50 0.20 1 9 6 3
29 1 0.20 0.40 0.90 0 3 5 10
30 1 0.30 0.10 0.00 1 4 2 1
31 1 0.90 0.60 0.10 1 10 7 2
32 0 0.80 0.20 0.00 1 9 3 1
33 1 1.00 0.70 0.60 1 11 8 7
34 0 0.90 0.40 0.10 1 10 5 2
35 0 0.80 0.30 0.10 1 9 4 2
36 1 0.80 0.70 0.00 1 9 8 1
37 1 1.00 0.70 0.00 1 11 8 1
38 1 0.00 0.50 0.70 0 1 6 8
39 1 0.90 0.80 0.00 1 10 9 1
40 0 1.00 0.30 0.20 1 11 4 3
41 1 1.00 0.90 0.40 1 11 10 5
42 0 0.20 0.50 0.70 0 3 6 8
43 0 0.90 0.10 0.00 1 10 2 1
44 1 0.50 0.30 0.10 1 6 4 2
45 0 0.90 0.60 0.40 1 10 7 5
46 1 0.80 0.50 0.30 1 9 6 4
47 1 0.10 0.30 0.90 0 2 4 10
48 0 1.00 0.60 0.10 1 11 7 2
49 1 0.70 0.80 0.90 0 8 9 10
50 1 0.30 0.40 0.70 0 4 5 8
51 0 0.30 0.60 0.90 0 4 7 10
52 0 0.90 0.70 0.30 1 10 8 4
53 1 0.30 0.80 0.90 0 4 9 10
54 1 1.00 0.90 0.50 1 11 10 6
55 1 0.60 0.70 0.80 0 7 8 9
56 1 0.70 0.20 0.10 1 8 3 2
57 1 0.70 0.60 0.50 1 8 7 6
58 1 0.10 0.20 0.90 0 2 3 10
59 0 0.30 0.40 0.60 0 4 5 7
60 1 0.90 0.60 0.50 1 10 7 6
61 1 1.00 0.60 0.20 1 11 7 3
62 1 0.50 0.60 1.00 0 6 7 11
63 1 0.10 0.30 1.00 0 2 4 11
64 0 0.80 0.60 0.20 1 9 7 3
65 1 0.90 0.70 0.50 1 10 8 6
66 0 0.80 0.60 0.50 1 9 7 6
67 1 0.80 0.30 0.00 1 9 4 1
68 1 0.70 0.50 0.40 1 8 6 5
69 0 0.60 0.30 0.10 1 7 4 2
70 0 0.70 0.30 0.00 1 8 4 1
71 1 0.50 0.80 1.00 0 6 9 11
72 1 0.40 0.70 0.90 0 5 8 10
73 1 0.90 0.80 0.50 1 10 9 6
74 1 1.00 0.60 0.00 1 11 7 1
75 1 0.00 0.10 0.80 0 1 2 9
76 0 1.00 0.80 0.70 1 11 9 8
77 0 0.00 0.20 0.40 0 1 3 5
78 1 0.00 0.20 1.00 0 1 3 11
79 1 0.40 0.50 1.00 0 5 6 11
80 1 0.10 0.30 0.70 0 2 4 8
81 0 0.80 0.90 1.00 0 9 10 11
82 0 0.70 0.40 0.10 1 8 5 2
83 0 0.30 0.40 0.50 0 4 5 6
84 0 1.00 0.90 0.60 1 11 10 7
85 0 0.30 0.90 1.00 0 4 10 11
86 0 0.00 0.50 0.80 0 1 6 9
87 1 0.40 0.70 1.00 0 5 8 11
88 1 0.40 0.30 0.20 1 5 4 3
89 0 1.00 0.50 0.30 1 11 6 4
90 0 0.00 0.40 0.50 0 1 5 6
91 0 0.80 0.70 0.40 1 9 8 5
