Trial Response s1 s2 s3 invord i1 i2 i3
91 1 0.40 0.60 0.90 0 5 7 10
92 0 0.30 0.60 0.80 0 4 7 9
93 0 0.20 0.40 0.50 0 3 5 6
94 1 0.70 0.30 0.10 1 8 4 2
95 0 0.00 0.60 0.70 0 1 7 8
96 0 0.70 0.50 0.10 1 8 6 2
97 1 0.60 0.70 0.90 0 7 8 10
98 0 0.90 0.80 0.70 1 10 9 8
99 1 0.00 0.30 0.60 0 1 4 7
100 1 0.90 0.50 0.20 1 10 6 3
101 0 0.00 0.60 1.00 0 1 7 11
102 1 0.20 0.40 0.60 0 3 5 7
103 1 0.40 0.60 1.00 0 5 7 11
104 1 0.90 0.50 0.10 1 10 6 2
105 1 0.80 0.70 0.00 1 9 8 1
106 1 0.30 0.50 0.80 0 4 6 9
107 0 0.70 0.10 0.00 1 8 2 1
108 0 0.90 0.30 0.20 1 10 4 3
109 0 0.30 0.20 0.10 1 4 3 2
110 0 0.70 0.60 0.50 1 8 7 6
111 0 1.00 0.30 0.20 1 11 4 3
112 1 0.40 0.70 0.90 0 5 8 10
113 1 0.50 0.40 0.10 1 6 5 2
114 1 0.20 0.30 0.60 0 3 4 7
115 0 0.10 0.40 0.70 0 2 5 8
116 1 0.10 0.20 0.80 0 2 3 9
117 1 1.00 0.80 0.60 1 11 9 7
118 0 0.20 0.70 0.80 0 3 8 9
119 1 0.80 0.50 0.10 1 9 6 2
120 0 0.30 0.40 0.90 0 4 5 10
121 0 0.30 0.40 0.60 0 4 5 7
122 1 0.10 0.60 0.90 0 2 7 10
123 0 0.90 0.20 0.00 1 10 3 1
124 0 0.40 0.50 0.80 0 5 6 9
125 1 0.90 0.80 0.10 1 10 9 2
126 1 1.00 0.90 0.60 1 11 10 7
127 0 0.30 0.60 0.90 0 4 7 10
128 1 1.00 0.80 0.10 1 11 9 2
129 1 0.20 0.40 0.90 0 3 5 10
130 1 1.00 0.80 0.50 1 11 9 6
131 1 0.60 0.70 1.00 0 7 8 11
132 0 0.20 0.70 0.90 0 3 8 10
133 0 1.00 0.50 0.20 1 11 6 3
134 1 0.20 0.50 0.70 0 3 6 8
135 0 0.90 0.10 0.00 1 10 2 1
136 0 0.50 0.10 0.00 1 6 2 1
137 0 0.60 0.80 0.90 0 7 9 10
138 1 0.90 0.60 0.00 1 10 7 1
139 0 0.90 0.40 0.10 1 10 5 2
140 1 0.50 0.60 1.00 0 6 7 11
141 1 0.20 0.30 0.80 0 3 4 9
142 0 0.90 0.80 0.40 1 10 9 5
143 1 0.70 0.60 0.30 1 8 7 4
144 1 0.90 0.70 0.50 1 10 8 6
145 1 0.00 0.20 0.80 0 1 3 9
146 0 0.80 0.50 0.00 1 9 6 1
147 1 0.60 0.40 0.00 1 7 5 1
148 1 0.70 0.50 0.30 1 8 6 4
149 0 0.30 0.80 0.90 0 4 9 10
150 0 0.00 0.20 0.50 0 1 3 6
151 1 0.90 0.70 0.30 1 10 8 4
152 1 0.30 0.40 1.00 0 4 5 11
153 0 0.00 0.80 0.90 0 1 9 10
154 0 0.60 0.50 0.20 1 7 6 3
155 1 1.00 0.90 0.10 1 11 10 2
156 0 0.30 0.10 0.00 1 4 2 1
157 0 1.00 0.20 0.10 1 11 3 2
158 1 1.00 0.40 0.20 1 11 5 3
159 0 1.00 0.80 0.70 1 11 9 8
160 1 0.20 0.40 0.80 0 3 5 9
161 0 0.70 0.60 0.20 1 8 7 3
162 1 0.20 0.30 0.70 0 3 4 8
163 0 1.00 0.70 0.50 1 11 8 6
164 0 0.80 0.40 0.30 1 9 5 4
0 1 0.30 0.40 0.70 0 4 5 8
1 1 1.00 0.90 0.50 1 11 10 6
2 0 0.00 0.20 0.40 0 1 3 5
3 1 0.80 0.40 0.00 1 9 5 1
4 0 1.00 0.70 0.00 1 11 8 1
5 0 0.10 0.30 0.40 0 2 4 5
6 0 1.00 0.60 0.10 1 11 7 2
7 1 0.10 0.30 1.00 0 2 4 11
8 0 0.00 0.80 1.00 0 1 9 11
9 1 0.90 0.80 0.20 1 10 9 3
10 1 0.10 0.20 0.70 0 2 3 8
11 1 0.00 0.30 0.50 0 1 4 6
12 1 0.40 0.30 0.00 1 5 4 1
13 1 0.40 0.10 0.00 1 5 2 1
14 0 1.00 0.50 0.30 1 11 6 4
15 0 0.00 0.50 0.60 0 1 6 7
16 1 0.80 0.90 1.00 0 9 10 11
17 0 0.90 0.80 0.50 1 10 9 6
18 1 0.80 0.60 0.10 1 9 7 2
19 0 0.90 0.70 0.10 1 10 8 2
20 0 0.20 0.30 0.40 0 3 4 5
21 0 0.30 0.70 1.00 0 4 8 11
22 0 0.60 0.20 0.10 1 7 3 2
23 1 0.70 0.40 0.00 1 8 5 1
24 0 0.10 0.70 1.00 0 2 8 11
25 0 0.50 0.30 0.10 1 6 4 2
26 1 0.80 0.70 0.40 1 9 8 5
27 1 0.10 0.30 0.90 0 2 4 10
28 1 0.00 0.10 0.60 0 1 2 7
29 0 0.30 0.80 1.00 0 4 9 11
30 0 0.50 0.60 0.80 0 6 7 9
31 0 0.90 0.60 0.50 1 10 7 6
32 0 0.40 0.60 0.70 0 5 7 8
33 1 0.20 0.80 1.00 0 3 9 11
34 0 1.00 0.90 0.00 1 11 10 1
35 0 0.70 0.40 0.20 1 8 5 3
36 0 0.80 0.40 0.10 1 9 5 2
37 0 0.00 0.60 0.80 0 1 7 9
38 1 0.40 0.50 1.00 0 5 6 11
39 0 0.60 0.40 0.10 1 7 5 2
40 0 0.10 0.20 0.40 0 2 3 5
41 1 1.00 0.70 0.20 1 11 8 3
42 1 0.50 0.40 0.00 1 6 5 1
43 1 0.90 0.70 0.00 1 10 8 1
44 1 1.00 0.90 0.40 1 11 10 5
45 1 1.00 0.90 0.30 1 11 10 4
46 0 1.00 0.50 0.10 1 11 6 2
47 1 0.00 0.30 0.80 0 1 4 9
48 1 0.30 0.60 1.00 0 4 7 11
49 0 0.30 0.40 0.50 0 4 5 6
50 0 0.50 0.20 0.10 1 6 3 2
51 0 0.10 0.70 0.80 0 2 8 9
52 1 0.00 0.40 1.00 0 1 5 11
53 0 0.10 0.50 0.60 0 2 6 7
54 1 0.10 0.20 0.90 0 2 3 10
55 1 0.60 0.30 0.10 1 7 4 2
56 0 0.40 0.70 1.00 0 5 8 11
57 1 0.20 0.10 0.00 1 3 2 1
58 1 0.30 0.70 0.80 0 4 8 9
59 1 0.70 0.60 0.10 1 8 7 2
60 1 0.20 0.60 0.90 0 3 7 10
61 1 0.00 0.40 0.90 0 1 5 10
62 0 0.50 0.70 0.80 0 6 8 9
63 0 0.20 0.60 1.00 0 3 7 11
64 0 0.80 0.70 0.60 1 9 8 7
65 1 0.10 0.30 0.80 0 2 4 9
66 1 0.00 0.20 1.00 0 1 3 11
67 0 0.60 0.20 0.00 1 7 3 1
68 0 0.90 0.30 0.00 1 10 4 1
69 0 0.00 0.30 0.70 0 1 4 8
70 0 0.40 0.50 0.90 0 5 6 10
71 0 0.40 0.50 0.60 0 5 6 7
72 0 1.00 0.30 0.00 1 11 4 1
73 1 0.80 0.50 0.20 1 9 6 3
74 1 1.00 0.90 0.20 1 11 10 3
75 0 0.90 0.50 0.30 1 10 6 4
76 1 0.60 0.50 0.30 1 7 6 4
77 1 0.50 0.30 0.20 1 6 4 3
78 0 0.80 0.10 0.00 1 9 2 1
79 0 0.40 0.80 1.00 0 5 9 11
80 0 0.70 0.90 1.00 0 8 10 11
81 1 0.40 0.60 0.80 0 5 7 9
82 1 0.00 0.50 0.70 0 1 6 8
83 1 0.30 0.20 0.00 1 4 3 1
84 0 0.10 0.40 1.00 0 2 5 11
85 0 1.00 0.10 0.00 1 11 2 1
86 1 0.80 0.60 0.20 1 9 7 3
87 1 0.00 0.50 1.00 0 1 6 11
88 1 0.00 0.20 0.70 0 1 3 8
89 0 0.00 0.50 0.90 0 1 6 10
90 1 0.40 0.50 0.70 0 5 6 8
91 1 0.40 0.60 0.90 0 5 7 10
92 1 0.30 0.60 0.80 0 4 7 9
93 0 0.20 0.40 0.50 0 3 5 6
94 0 0.70 0.30 0.10 1 8 4 2
95 0 0.00 0.60 0.70 0 1 7 8
96 1 0.70 0.50 0.10 1 8 6 2
97 1 0.60 0.70 0.90 0 7 8 10
98 1 0.90 0.80 0.70 1 10 9 8
99 1 0.00 0.30 0.60 0 1 4 7
100 0 0.90 0.50 0.20 1 10 6 3
101 1 0.00 0.60 1.00 0 1 7 11
102 0 0.20 0.40 0.60 0 3 5 7
103 1 0.40 0.60 1.00 0 5 7 11
104 1 0.90 0.50 0.10 1 10 6 2
105 1 0.80 0.70 0.00 1 9 8 1
106 1 0.30 0.50 0.80 0 4 6 9
107 0 0.70 0.10 0.00 1 8 2 1
108 0 0.90 0.30 0.20 1 10 4 3
109 1 0.30 0.20 0.10 1 4 3 2
110 0 0.70 0.60 0.50 1 8 7 6
111 0 1.00 0.30 0.20 1 11 4 3
112 0 0.40 0.70 0.90 0 5 8 10
113 1 0.50 0.40 0.10 1 6 5 2
114 1 0.20 0.30 0.60 0 3 4 7
115 0 0.10 0.40 0.70 0 2 5 8
116 1 0.10 0.20 0.80 0 2 3 9
117 1 1.00 0.80 0.60 1 11 9 7
118 1 0.20 0.70 0.80 0 3 8 9
119 1 0.80 0.50 0.10 1 9 6 2
120 1 0.30 0.40 0.90 0 4 5 10
121 1 0.30 0.40 0.60 0 4 5 7
122 1 0.10 0.60 0.90 0 2 7 10
123 0 0.90 0.20 0.00 1 10 3 1
124 0 0.40 0.50 0.80 0 5 6 9
125 1 0.90 0.80 0.10 1 10 9 2
126 1 1.00 0.90 0.60 1 11 10 7
127 1 0.30 0.60 0.90 0 4 7 10
128 1 1.00 0.80 0.10 1 11 9 2
129 1 0.20 0.40 0.90 0 3 5 10
130 1 1.00 0.80 0.50 1 11 9 6
131 1 0.60 0.70 1.00 0 7 8 11
132 0 0.20 0.70 0.90 0 3 8 10
133 1 1.00 0.50 0.20 1 11 6 3
134 1 0.20 0.50 0.70 0 3 6 8
135 0 0.90 0.10 0.00 1 10 2 1
136 0 0.50 0.10 0.00 1 6 2 1
137 1 0.60 0.80 0.90 0 7 9 10
138 1 0.90 0.60 0.00 1 10 7 1
139 0 0.90 0.40 0.10 1 10 5 2
140 0 0.50 0.60 1.00 0 6 7 11
141 0 0.20 0.30 0.80 0 3 4 9
142 1 0.90 0.80 0.40 1 10 9 5
143 1 0.70 0.60 0.30 1 8 7 4
144 0 0.90 0.70 0.50 1 10 8 6
145 1 0.00 0.20 0.80 0 1 3 9
146 1 0.80 0.50 0.00 1 9 6 1
147 1 0.60 0.40 0.00 1 7 5 1
148 0 0.70 0.50 0.30 1 8 6 4
149 0 0.30 0.80 0.90 0 4 9 10
150 0 0.00 0.20 0.50 0 1 3 6
151 1 0.90 0.70 0.30 1 10 8 4
152 1 0.30 0.40 1.00 0 4 5 11
153 0 0.00 0.80 0.90 0 1 9 10
154 1 0.60 0.50 0.20 1 7 6 3
155 1 1.00 0.90 0.10 1 11 10 2
156 0 0.30 0.10 0.00 1 4 2 1
157 0 1.00 0.20 0.10 1 11 3 2
158 0 1.00 0.40 0.20 1 11 5 3
159 0 1.00 0.80 0.70 1 11 9 8
160 0 0.20 0.40 0.80 0 3 5 9
161 0 0.70 0.60 0.20 1 8 7 3
162 0 0.20 0.30 0.70 0 3 4 8
163 1 1.00 0.70 0.50 1 11 8 6
164 0 0.80 0.40 0.30 1 9 5 4
0 0 0.30 0.40 0.70 0 4 5 8
1 1 1.00 0.90 0.50 1 11 10 6
2 1 0.00 0.20 0.40 0 1 3 5
3 0 0.80 0.40 0.00 1 9 5 1
4 1 1.00 0.70 0.00 1 11 8 1
5 0 0.10 0.30 0.40 0 2 4 5
6 0 1.00 0.60 0.10 1 11 7 2
7 1 0.10 0.30 1.00 0 2 4 11
8 1 0.00 0.80 1.00 0 1 9 11
9 0 0.90 0.80 0.20 1 10 9 3
10 1 0.10 0.20 0.70 0 2 3 8
11 0 0.00 0.30 0.50 0 1 4 6
12 1 0.40 0.30 0.00 1 5 4 1
13 1 0.40 0.10 0.00 1 5 2 1
14 0 1.00 0.50 0.30 1 11 6 4
15 1 0.00 0.50 0.60 0 1 6 7
16 1 0.80 0.90 1.00 0 9 10 11
17 1 0.90 0.80 0.50 1 10 9 6
18 0 0.80 0.60 0.10 1 9 7 2
19 0 0.90 0.70 0.10 1 10 8 2
20 1 0.20 0.30 0.40 0 3 4 5
21 1 0.30 0.70 1.00 0 4 8 11
22 0 0.60 0.20 0.10 1 7 3 2
23 1 0.70 0.40 0.00 1 8 5 1
24 0 0.10 0.70 1.00 0 2 8 11
25 1 0.50 0.30 0.10 1 6 4 2
26 1 0.80 0.70 0.40 1 9 8 5
27 0 0.10 0.30 0.90 0 2 4 10
28 1 0.00 0.10 0.60 0 1 2 7
29 0 0.30 0.80 1.00 0 4 9 11
30 1 0.50 0.60 0.80 0 6 7 9
31 0 0.90 0.60 0.50 1 10 7 6
32 0 0.40 0.60 0.70 0 5 7 8
33 0 0.20 0.80 1.00 0 3 9 11
34 1 1.00 0.90 0.00 1 11 10 1
35 1 0.70 0.40 0.20 1 8 5 3
36 0 0.80 0.40 0.10 1 9 5 2
37 0 0.00 0.60 0.80 0 1 7 9
38 1 0.40 0.50 1.00 0 5 6 11
39 1 0.60 0.40 0.10 1 7 5 2
40 0 0.10 0.20 0.40 0 2 3 5
41 0 1.00 0.70 0.20 1 11 8 3
42 1 0.50 0.40 0.00 1 6 5 1
43 1 0.90 0.70 0.00 1 10 8 1
44 1 1.00 0.90 0.40 1 11 10 5
45 1 1.00 0.90 0.30 1 11 10 4
46 0 1.00 0.50 0.10 1 11 6 2
47 1 0.00 0.30 0.80 0 1 4 9
48 1 0.30 0.60 1.00 0 4 7 11
49 1 0.30 0.40 0.50 0 4 5 6
50 1 0.50 0.20 0.10 1 6 3 2
51 0 0.10 0.70 0.80 0 2 8 9
52 1 0.00 0.40 1.00 0 1 5 11
53 1 0.10 0.50 0.60 0 2 6 7
54 1 0.10 0.20 0.90 0 2 3 10
55 0 0.60 0.30 0.10 1 7 4 2
56 1 0.40 0.70 1.00 0 5 8 11
57 1 0.20 0.10 0.00 1 3 2 1
58 1 0.30 0.70 0.80 0 4 8 9
59 1 0.70 0.60 0.10 1 8 7 2
60 1 0.20 0.60 0.90 0 3 7 10
61 1 0.00 0.40 0.90 0 1 5 10
62 0 0.50 0.70 0.80 0 6 8 9
63 1 0.20 0.60 1.00 0 3 7 11
64 0 0.80 0.70 0.60 1 9 8 7
65 1 0.10 0.30 0.80 0 2 4 9
66 1 0.00 0.20 1.00 0 1 3 11
67 0 0.60 0.20 0.00 1 7 3 1
68 0 0.90 0.30 0.00 1 10 4 1
69 0 0.00 0.30 0.70 0 1 4 8
70 1 0.40 0.50 0.90 0 5 6 10
71 0 0.40 0.50 0.60 0 5 6 7
72 0 1.00 0.30 0.00 1 11 4 1
73 0 0.80 0.50 0.20 1 9 6 3
74 1 1.00 0.90 0.20 1 11 10 3
75 0 0.90 0.50 0.30 1 10 6 4
76 1 0.60 0.50 0.30 1 7 6 4
77 1 0.50 0.30 0.20 1 6 4 3
78 0 0.80 0.10 0.00 1 9 2 1
79 0 0.40 0.80 1.00 0 5 9 11
80 0 0.70 0.90 1.00 0 8 10 11
81 1 0.40 0.60 0.80 0 5 7 9
82 0 0.00 0.50 0.70 0 1 6 8
83 0 0.30 0.20 0.00 1 4 3 1
84 1 0.10 0.40 1.00 0 2 5 11
85 0 1.00 0.10 0.00 1 11 2 1
86 0 0.80 0.60 0.20 1 9 7 3
87 1 0.00 0.50 1.00 0 1 6 11
88 1 0.00 0.20 0.70 0 1 3 8
89 0 0.00 0.50 0.90 0 1 6 10
90 1 0.40 0.50 0.70 0 5 6 8
91 0 0.40 0.60 0.90 0 5 7 10
92 1 0.30 0.60 0.80 0 4 7 9
93 1 0.20 0.40 0.50 0 3 5 6
94 0 0.70 0.30 0.10 1 8 4 2
95 0 0.00 0.60 0.70 0 1 7 8
96 1 0.70 0.50 0.10 1 8 6 2
97 1 0.60 0.70 0.90 0 7 8 10
98 0 0.90 0.80 0.70 1 10 9 8
99 0 0.00 0.30 0.60 0 1 4 7
100 0 0.90 0.50 0.20 1 10 6 3
101 0 0.00 0.60 1.00 0 1 7 11
102 1 0.20 0.40 0.60 0 3 5 7
103 0 0.40 0.60 1.00 0 5 7 11
104 1 0.90 0.50 0.10 1 10 6 2
105 1 0.80 0.70 0.00 1 9 8 1
106 1 0.30 0.50 0.80 0 4 6 9
107 0 0.70 0.10 0.00 1 8 2 1
108 0 0.90 0.30 0.20 1 10 4 3
109 1 0.30 0.20 0.10 1 4 3 2
110 1 0.70 0.60 0.50 1 8 7 6
111 0 1.00 0.30 0.20 1 11 4 3
112 1 0.40 0.70 0.90 0 5 8 10
113 1 0.50 0.40 0.10 1 6 5 2
114 1 0.20 0.30 0.60 0 3 4 7
115 1 0.10 0.40 0.70 0 2 5 8
116 0 0.10 0.20 0.80 0 2 3 9
117 0 1.00 0.80 0.60 1 11 9 7
118 0 0.20 0.70 0.80 0 3 8 9
119 0 0.80 0.50 0.10 1 9 6 2
120 0 0.30 0.40 0.90 0 4 5 10
121 1 0.30 0.40 0.60 0 4 5 7
122 0 0.10 0.60 0.90 0 2 7 10
123 0 0.90 0.20 0.00 1 10 3 1
124 1 0.40 0.50 0.80 0 5 6 9
125 1 0.90 0.80 0.10 1 10 9 2
126 1 1.00 0.90 0.60 1 11 10 7
127 0 0.30 0.60 0.90 0 4 7 10
128 1 1.00 0.80 0.10 1 11 9 2
129 1 0.20 0.40 0.90 0 3 5 10
130 0 1.00 0.80 0.50 1 11 9 6
131 1 0.60 0.70 1.00 0 7 8 11
132 0 0.20 0.70 0.90 0 3 8 10
133 0 1.00 0.50 0.20 1 11 6 3
134 1 0.20 0.50 0.70 0 3 6 8
135 0 0.90 0.10 0.00 1 10 2 1
136 0 0.50 0.10 0.00 1 6 2 1
137 0 0.60 0.80 0.90 0 7 9 10
138 1 0.90 0.60 0.00 1 10 7 1
139 0 0.90 0.40 0.10 1 10 5 2
140 1 0.50 0.60 1.00 0 6 7 11
141 1 0.20 0.30 0.80 0 3 4 9
142 1 0.90 0.80 0.40 1 10 9 5
143 1 0.70 0.60 0.30 1 8 7 4
144 0 0.90 0.70 0.50 1 10 8 6
145 1 0.00 0.20 0.80 0 1 3 9
146 0 0.80 0.50 0.00 1 9 6 1
147 0 0.60 0.40 0.00 1 7 5 1
148 0 0.70 0.50 0.30 1 8 6 4
149 0 0.30 0.80 0.90 0 4 9 10
150 1 0.00 0.20 0.50 0 1 3 6
151 0 0.90 0.70 0.30 1 10 8 4
152 1 0.30 0.40 1.00 0 4 5 11
153 0 0.00 0.80 0.90 0 1 9 10
154 1 0.60 0.50 0.20 1 7 6 3
155 1 1.00 0.90 0.10 1 11 10 2
156 0 0.30 0.10 0.00 1 4 2 1
157 0 1.00 0.20 0.10 1 11 3 2
158 0 1.00 0.40 0.20 1 11 5 3
159 0 1.00 0.80 0.70 1 11 9 8
160 0 0.20 0.40 0.80 0 3 5 9
161 1 0.70 0.60 0.20 1 8 7 3
162 1 0.20 0.30 0.70 0 3 4 8
163 0 1.00 0.70 0.50 1 11 8 6
164 1 0.80 0.40 0.30 1 9 5 4
0 1 0.30 0.40 0.70 0 4 5 8
1 1 1.00 0.90 0.50 1 11 10 6
2 1 0.00 0.20 0.40 0 1 3 5
3 1 0.80 0.40 0.00 1 9 5 1
4 1 1.00 0.70 0.00 1 11 8 1
5 1 0.10 0.30 0.40 0 2 4 5
6 1 1.00 0.60 0.10 1 11 7 2
7 1 0.10 0.30 1.00 0 2 4 11
8 0 0.00 0.80 1.00 0 1 9 11
9 1 0.90 0.80 0.20 1 10 9 3
10 1 0.10 0.20 0.70 0 2 3 8
11 0 0.00 0.30 0.50 0 1 4 6
12 0 0.40 0.30 0.00 1 5 4 1
13 0 0.40 0.10 0.00 1 5 2 1
14 1 1.00 0.50 0.30 1 11 6 4
15 0 0.00 0.50 0.60 0 1 6 7
16 1 0.80 0.90 1.00 0 9 10 11
17 0 0.90 0.80 0.50 1 10 9 6
18 0 0.80 0.60 0.10 1 9 7 2
19 0 0.90 0.70 0.10 1 10 8 2
20 0 0.20 0.30 0.40 0 3 4 5
21 0 0.30 0.70 1.00 0 4 8 11
22 0 0.60 0.20 0.10 1 7 3 2
23 0 0.70 0.40 0.00 1 8 5 1
24 0 0.10 0.70 1.00 0 2 8 11
25 0 0.50 0.30 0.10 1 6 4 2
26 0 0.80 0.70 0.40 1 9 8 5
27 1 0.10 0.30 0.90 0 2 4 10
28 1 0.00 0.10 0.60 0 1 2 7
29 0 0.30 0.80 1.00 0 4 9 11
30 1 0.50 0.60 0.80 0 6 7 9
31 0 0.90 0.60 0.50 1 10 7 6
32 1 0.40 0.60 0.70 0 5 7 8
33 0 0.20 0.80 1.00 0 3 9 11
34 1 1.00 0.90 0.00 1 11 10 1
35 1 0.70 0.40 0.20 1 8 5 3
36 0 0.80 0.40 0.10 1 9 5 2
37 0 0.00 0.60 0.80 0 1 7 9
38 1 0.40 0.50 1.00 0 5 6 11
39 1 0.60 0.40 0.10 1 7 5 2
40 1 0.10 0.20 0.40 0 2 3 5
41 1 1.00 0.70 0.20 1 11 8 3
42 0 0.50 0.40 0.00 1 6 5 1
43 1 0.90 0.70 0.00 1 10 8 1
44 1 1.00 0.90 0.40 1 11 10 5
45 1 1.00 0.90 0.30 1 11 10 4
46 1 1.00 0.50 0.10 1 11 6 2
47 1 0.00 0.30 0.80 0 1 4 9
48 1 0.30 0.60 1.00 0 4 7 11
49 0 0.30 0.40 0.50 0 4 5 6
50 0 0.50 0.20 0.10 1 6 3 2
51 1 0.10 0.70 0.80 0 2 8 9
52 1 0.00 0.40 1.00 0 1 5 11
53 0 0.10 0.50 0.60 0 2 6 7
54 1 0.10 0.20 0.90 0 2 3 10
55 0 0.60 0.30 0.10 1 7 4 2
56 1 0.40 0.70 1.00 0 5 8 11
57 0 0.20 0.10 0.00 1 3 2 1
58 1 0.30 0.70 0.80 0 4 8 9
59 0 0.70 0.60 0.10 1 8 7 2
60 0 0.20 0.60 0.90 0 3 7 10
61 0 0.00 0.40 0.90 0 1 5 10
62 0 0.50 0.70 0.80 0 6 8 9
63 0 0.20 0.60 1.00 0 3 7 11
64 1 0.80 0.70 0.60 1 9 8 7
65 1 0.10 0.30 0.80 0 2 4 9
66 1 0.00 0.20 1.00 0 1 3 11
67 0 0.60 0.20 0.00 1 7 3 1
68 0 0.90 0.30 0.00 1 10 4 1
69 1 0.00 0.30 0.70 0 1 4 8
70 1 0.40 0.50 0.90 0 5 6 10
71 0 0.40 0.50 0.60 0 5 6 7
72 0 1.00 0.30 0.00 1 11 4 1
73 0 0.80 0.50 0.20 1 9 6 3
74 1 1.00 0.90 0.20 1 11 10 3
75 0 0.90 0.50 0.30 1 10 6 4
76 1 0.60 0.50 0.30 1 7 6 4
77 0 0.50 0.30 0.20 1 6 4 3
78 0 0.80 0.10 0.00 1 9 2 1
79 0 0.40 0.80 1.00 0 5 9 11
80 0 0.70 0.90 1.00 0 8 10 11
81 0 0.40 0.60 0.80 0 5 7 9
82 0 0.00 0.50 0.70 0 1 6 8
83 0 0.30 0.20 0.00 1 4 3 1
84 1 0.10 0.40 1.00 0 2 5 11
85 0 1.00 0.10 0.00 1 11 2 1
86 0 0.80 0.60 0.20 1 9 7 3
87 0 0.00 0.50 1.00 0 1 6 11
88 1 0.00 0.20 0.70 0 1 3 8
89 1 0.00 0.50 0.90 0 1 6 10
90 0 0.40 0.50 0.70 0 5 6 8
91 1 0.40 0.60 0.90 0 5 7 10
92 1 0.30 0.60 0.80 0 4 7 9
93 0 0.20 0.40 0.50 0 3 5 6
94 0 0.70 0.30 0.10 1 8 4 2
95 1 0.00 0.60 0.70 0 1 7 8
96 0 0.70 0.50 0.10 1 8 6 2
97 1 0.60 0.70 0.90 0 7 8 10
98 1 0.90 0.80 0.70 1 10 9 8
99 0 0.00 0.30 0.60 0 1 4 7
100 0 0.90 0.50 0.20 1 10 6 3
101 1 0.00 0.60 1.00 0 1 7 11
102 1 0.20 0.40 0.60 0 3 5 7
103 1 0.40 0.60 1.00 0 5 7 11
104 1 0.90 0.50 0.10 1 10 6 2
105 1 0.80 0.70 0.00 1 9 8 1
106 0 0.30 0.50 0.80 0 4 6 9
107 0 0.70 0.10 0.00 1 8 2 1
108 1 0.90 0.30 0.20 1 10 4 3
109 1 0.30 0.20 0.10 1 4 3 2
110 0 0.70 0.60 0.50 1 8 7 6
111 0 1.00 0.30 0.20 1 11 4 3
112 1 0.40 0.70 0.90 0 5 8 10
113 1 0.50 0.40 0.10 1 6 5 2
114 0 0.20 0.30 0.60 0 3 4 7
115 1 0.10 0.40 0.70 0 2 5 8
116 1 0.10 0.20 0.80 0 2 3 9
117 0 1.00 0.80 0.60 1 11 9 7
118 0 0.20 0.70 0.80 0 3 8 9
119 0 0.80 0.50 0.10 1 9 6 2
120 1 0.30 0.40 0.90 0 4 5 10
121 1 0.30 0.40 0.60 0 4 5 7
122 1 0.10 0.60 0.90 0 2 7 10
123 0 0.90 0.20 0.00 1 10 3 1
124 0 0.40 0.50 0.80 0 5 6 9
125 1 0.90 0.80 0.10 1 10 9 2
126 1 1.00 0.90 0.60 1 11 10 7
127 0 0.30 0.60 0.90 0 4 7 10
128 1 1.00 0.80 0.10 1 11 9 2
129 1 0.20 0.40 0.90 0 3 5 10
130 1 1.00 0.80 0.50 1 11 9 6
131 1 0.60 0.70 1.00 0 7 8 11
132 1 0.20 0.70 0.90 0 3 8 10
133 1 1.00 0.50 0.20 1 11 6 3
134 0 0.20 0.50 0.70 0 3 6 8
135 0 0.90 0.10 0.00 1 10 2 1
136 0 0.50 0.10 0.00 1 6 2 1
137 0 0.60 0.80 0.90 0 7 9 10
138 0 0.90 0.60 0.00 1 10 7 1
139 0 0.90 0.40 0.10 1 10 5 2
140 1 0.50 0.60 1.00 0 6 7 11
141 0 0.20 0.30 0.80 0 3 4 9
142 1 0.90 0.80 0.40 1 10 9 5
143 1 0.70 0.60 0.30 1 8 7 4
144 1 0.90 0.70 0.50 1 10 8 6
145 1 0.00 0.20 0.80 0 1 3 9
146 0 0.80 0.50 0.00 1 9 6 1
147 0 0.60 0.40 0.00 1 7 5 1
148 0 0.70 0.50 0.30 1 8 6 4
149 0 0.30 0.80 0.90 0 4 9 10
150 1 0.00 0.20 0.50 0 1 3 6
151 0 0.90 0.70 0.30 1 10 8 4
152 1 0.30 0.40 1.00 0 4 5 11
153 0 0.00 0.80 0.90 0 1 9 10
154 1 0.60 0.50 0.20 1 7 6 3
155 1 1.00 0.90 0.10 1 11 10 2
156 1 0.30 0.10 0.00 1 4 2 1
157 0 1.00 0.20 0.10 1 11 3 2
158 0 1.00 0.40 0.20 1 11 5 3
159 0 1.00 0.80 0.70 1 11 9 8
160 1 0.20 0.40 0.80 0 3 5 9
161 1 0.70 0.60 0.20 1 8 7 3
162 1 0.20 0.30 0.70 0 3 4 8
163 1 1.00 0.70 0.50 1 11 8 6
164 1 0.80 0.40 0.30 1 9 5 4
0 1 0.30 0.40 0.70 0 4 5 8
1 0 1.00 0.90 0.50 1 11 10 6
2 1 0.00 0.20 0.40 0 1 3 5
3 0 0.80 0.40 0.00 1 9 5 1
4 1 1.00 0.70 0.00 1 11 8 1
5 0 0.10 0.30 0.40 0 2 4 5
6 1 1.00 0.60 0.10 1 11 7 2
7 1 0.10 0.30 1.00 0 2 4 11
8 0 0.00 0.80 1.00 0 1 9 11
9 1 0.90 0.80 0.20 1 10 9 3
10 0 0.10 0.20 0.70 0 2 3 8
11 1 0.00 0.30 0.50 0 1 4 6
12 0 0.40 0.30 0.00 1 5 4 1
